TEAM,V2_TOTAL,BASE,ADJ_BONUS,COACH
DET,6.352,6.152,0.2,X
OKC,6.322,6.182,0.14,X
SAS,5.786,5.686,0.1,X
HOU,5.494,5.434,0.06,X
MEM,5.492,5.592,-0.1,X
DEN,5.455,5.395,0.06,X
GSW,5.424,5.324,0.1,X
MIN,5.402,5.362,0.04,X
MIA,5.378,5.278,0.1,X
NYK,5.37,5.23,0.14,X
BOS,5.354,5.214,0.14,X
PHX,5.311,5.251,0.06,X
CLE,5.27,5.07,0.2,X
LAC,5.264,4.914,0.2,O
TOR,5.176,4.966,0.06,O
CHI,5.163,5.163,0.0,X
ORL,5.131,5.171,-0.04,X
LAL,5.096,5.096,0.0,X
DAL,5.009,4.819,0.04,O
CHA,4.999,4.649,0.2,O
PHI,4.836,4.726,-0.04,O
ATL,4.735,4.775,-0.04,X
POR,4.653,4.693,-0.04,X
MIL,4.645,4.785,-0.14,X
NOP,4.576,4.616,-0.04,X
UTA,4.262,4.462,-0.2,X
WAS,4.157,4.257,-0.1,X
SAC,3.937,4.097,-0.16,X
IND,3.934,3.824,-0.04,O
BKN,3.704,3.844,-0.14,X
