TEAM,V2_TOTAL,BASE,ADJ_BONUS,COACH
DET,6.717,6.517,0.2,X
OKC,6.515,6.375,0.14,X
SAS,6.19,6.09,0.1,X
NYK,5.879,5.739,0.14,X
HOU,5.811,5.751,0.06,X
MIN,5.717,5.677,0.04,X
PHX,5.68,5.62,0.06,X
BOS,5.624,5.484,0.14,X
DEN,5.619,5.559,0.06,X
MIA,5.566,5.466,0.1,X
TOR,5.5,5.44,0.06,X
LAL,5.495,5.495,0.0,X
GSW,5.364,5.264,0.1,X
CLE,5.356,5.006,0.2,O
MEM,5.352,5.452,-0.1,X
CHI,5.34,5.34,0.0,X
ORL,5.297,5.337,-0.04,X
PHI,5.195,5.085,-0.04,O
LAC,5.101,4.751,0.2,O
DAL,5.085,4.895,0.04,O
CHA,4.963,4.613,0.2,O
MIL,4.809,4.949,-0.14,X
ATL,4.757,4.797,-0.04,X
POR,4.643,4.683,-0.04,X
UTA,4.551,4.751,-0.2,X
IND,4.294,4.184,-0.04,O
SAC,4.222,4.382,-0.16,X
NOP,4.217,4.257,-0.04,X
WAS,3.981,4.081,-0.1,X
BKN,3.688,3.828,-0.14,X
