TEAM,V2_TOTAL,BASE,WR_B,NRTG_B,COACH
DET,6.671,6.271,0.2,0.2,X
DEN,6.241,6.141,0.1,0.0,X
GSW,6.207,6.007,0.1,0.1,X
OKC,6.196,5.896,0.1,0.2,X
LAC,6.061,5.661,0.2,0.2,X
CLE,6.052,5.652,0.2,0.2,X
NYK,5.959,5.659,0.1,0.2,X
BOS,5.846,5.546,0.1,0.2,X
CHA,5.778,5.378,0.2,0.2,X
MEM,5.772,5.972,-0.1,-0.1,X
SAS,5.705,5.505,0.1,0.1,X
MIA,5.581,5.381,0.1,0.1,X
MIN,5.568,5.468,0.0,0.1,X
HOU,5.463,5.363,0.1,0.0,X
CHI,5.461,5.461,0.0,0.0,X
PHX,5.375,5.125,0.1,0.0,O
DAL,5.371,5.121,0.0,0.1,O
TOR,5.317,5.067,0.1,0.0,O
LAL,5.203,5.203,0.0,0.0,X
PHI,4.915,4.865,0.0,-0.1,O
NOP,4.572,4.672,0.0,-0.1,X
POR,4.504,4.604,0.0,-0.1,X
ORL,4.483,4.583,0.0,-0.1,X
ATL,4.377,4.477,0.0,-0.1,X
IND,4.361,4.311,0.0,-0.1,O
WAS,4.325,4.525,-0.1,-0.1,X
MIL,4.177,4.477,-0.1,-0.2,X
UTA,4.099,4.499,-0.2,-0.2,X
SAC,4.086,4.386,-0.2,-0.1,X
BKN,3.271,3.571,-0.1,-0.2,X
