TEAM,RAW_UV,COACH,V2_TOTAL_UV
GSW,6.438,X,6.438
DEN,6.426,X,6.426
DET,6.288,X,6.288
MEM,6.217,X,6.217
LAC,6.159,X,6.159
CLE,6.021,X,6.021
NYK,5.946,X,5.946
CHA,5.864,X,5.864
BOS,5.743,X,5.743
CHI,5.66,X,5.66
OKC,5.621,X,5.621
MIN,5.539,X,5.539
MIA,5.45,X,5.45
DAL,5.323,X,5.323
SAS,5.318,X,5.318
HOU,5.316,X,5.316
LAL,5.222,X,5.222
TOR,5.134,X,5.134
PHX,5.041,X,5.041
PHI,4.958,X,4.958
WAS,4.684,X,4.684
IND,4.636,X,4.636
NOP,4.627,X,4.627
SAC,4.579,X,4.579
POR,4.544,X,4.544
UTA,4.524,X,4.524
ATL,4.279,X,4.279
MIL,4.272,X,4.272
ORL,4.187,X,4.187
BKN,3.389,X,3.389
